algoritmo,max_attempts,max_iters,best_fitness,time,mutation_rate
simulated_annealing,150,19000,83915.2406807469,57.99068307876587,undefined
simulated_annealing,200,19000,76702.44881392804,72.80533266067505,undefined
simulated_annealing,250,19000,67355.21671474815,115.40859198570251,undefined
simulated_annealing,300,19000,76344.90796831608,97.15346813201904,undefined
simulated_annealing,350,19000,69514.39852600265,114.64468002319336,undefined
simulated_annealing,400,19000,65681.24312153555,115.04752898216248,undefined
simulated_annealing,450,19000,67046.12235807476,115.24616289138794,undefined
genetic_alg,10,undefined,184804.76075340292,34.517141580581665,0.1
genetic_alg,30,undefined,184038.26572576322,76.05989456176758,0.1
genetic_alg,50,undefined,183067.6492703563,105.97127056121826,0.1
genetic_alg,70,undefined,182131.97864543195,298.03549098968506,0.1
genetic_alg,90,undefined,182134.56833807117,489.20089530944824,0.1
genetic_alg,10,undefined,184295.48275969826,41.35205388069153,0.2
